idx,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,PINCP,RAC1P
39,61.0,1.0,19.0,1.0,5820.0,15.0,1.0,40.0,2.0,0,0
40,35.0,1.0,16.0,3.0,9130.0,15.0,2.0,40.0,1.0,1,0
41,39.0,4.0,24.0,1.0,2200.0,12.0,0.0,50.0,2.0,1,1
42,45.0,1.0,24.0,1.0,2200.0,17.0,1.0,40.0,1.0,1,1
43,31.0,1.0,19.0,1.0,4600.0,25.0,0.0,5.0,1.0,0,1
44,32.0,1.0,21.0,1.0,2000.0,48.0,1.0,21.0,2.0,0,1
45,63.0,6.0,18.0,1.0,2760.0,6.0,0.0,1.0,1.0,0,1
46,44.0,6.0,19.0,5.0,6460.0,303.0,0.0,40.0,1.0,1,0
47,44.0,7.0,20.0,1.0,5700.0,313.0,0.0,20.0,2.0,1,0
48,44.0,7.0,21.0,1.0,4200.0,15.0,1.0,25.0,1.0,0,0
49,39.0,5.0,20.0,3.0,6355.0,42.0,0.0,40.0,1.0,1,1
50,37.0,1.0,21.0,5.0,3300.0,39.0,0.0,40.0,1.0,1,1
51,35.0,1.0,19.0,5.0,4110.0,15.0,13.0,35.0,1.0,0,0
52,49.0,1.0,24.0,1.0,3050.0,15.0,0.0,40.0,2.0,0,0
53,50.0,4.0,24.0,1.0,3050.0,15.0,1.0,40.0,1.0,1,0
54,57.0,4.0,22.0,1.0,2310.0,15.0,0.0,50.0,2.0,1,0
55,54.0,7.0,18.0,1.0,7800.0,15.0,1.0,50.0,1.0,0,0
56,26.0,2.0,20.0,5.0,2630.0,15.0,2.0,20.0,1.0,0,0
57,24.0,1.0,19.0,5.0,9640.0,15.0,2.0,20.0,1.0,0,0
58,56.0,1.0,22.0,1.0,4920.0,36.0,0.0,50.0,1.0,1,1
59,60.0,1.0,16.0,1.0,4700.0,15.0,1.0,60.0,1.0,1,0
60,54.0,1.0,18.0,1.0,6420.0,15.0,0.0,40.0,1.0,1,0
61,57.0,7.0,20.0,1.0,430.0,233.0,1.0,50.0,2.0,0,0
62,47.0,1.0,21.0,3.0,2340.0,17.0,11.0,48.0,2.0,0,1
63,25.0,5.0,19.0,1.0,2016.0,233.0,0.0,60.0,2.0,0,0
64,33.0,5.0,19.0,1.0,9810.0,24.0,1.0,60.0,1.0,1,0
65,42.0,2.0,21.0,1.0,120.0,1.0,0.0,50.0,2.0,1,1
66,45.0,5.0,18.0,1.0,9830.0,30.0,1.0,40.0,1.0,1,1
67,44.0,5.0,22.0,1.0,1360.0,15.0,0.0,40.0,1.0,1,0
68,43.0,4.0,22.0,1.0,2000.0,15.0,1.0,40.0,2.0,1,0
69,38.0,2.0,24.0,1.0,2310.0,15.0,0.0,40.0,1.0,1,0
70,32.0,4.0,21.0,1.0,2320.0,15.0,1.0,40.0,2.0,0,0
71,53.0,8.0,18.0,5.0,4230.0,15.0,0.0,30.0,2.0,0,0
72,30.0,7.0,17.0,5.0,9130.0,15.0,2.0,25.0,1.0,0,0
73,30.0,8.0,16.0,5.0,9130.0,15.0,2.0,25.0,1.0,0,0
74,27.0,1.0,19.0,1.0,6440.0,15.0,2.0,40.0,1.0,1,0
75,25.0,1.0,20.0,1.0,5240.0,53.0,9.0,29.0,2.0,0,0
76,27.0,1.0,22.0,5.0,5240.0,6.0,10.0,40.0,1.0,0,0
77,25.0,4.0,21.0,5.0,2540.0,6.0,10.0,40.0,2.0,0,0
78,53.0,1.0,16.0,5.0,4220.0,15.0,13.0,35.0,1.0,0,0
79,53.0,2.0,20.0,1.0,5000.0,15.0,0.0,40.0,2.0,1,1
80,40.0,5.0,20.0,1.0,3750.0,12.0,0.0,40.0,1.0,1,1
81,50.0,1.0,19.0,1.0,5410.0,15.0,0.0,40.0,2.0,0,0
82,25.0,1.0,17.0,5.0,4600.0,15.0,2.0,40.0,2.0,0,0
83,25.0,1.0,16.0,5.0,6355.0,15.0,10.0,40.0,1.0,1,0
84,24.0,3.0,20.0,5.0,5700.0,6.0,0.0,10.0,2.0,0,0
85,43.0,4.0,21.0,1.0,2310.0,15.0,0.0,60.0,2.0,1,0
86,44.0,1.0,18.0,1.0,6230.0,15.0,1.0,40.0,1.0,1,0
87,20.0,1.0,16.0,5.0,4760.0,15.0,2.0,15.0,1.0,0,0
88,45.0,4.0,21.0,1.0,430.0,15.0,2.0,40.0,1.0,1,0
89,45.0,1.0,19.0,1.0,5000.0,15.0,9.0,40.0,2.0,0,0
90,44.0,1.0,21.0,1.0,4530.0,15.0,9.0,40.0,1.0,0,0
91,46.0,1.0,19.0,1.0,6260.0,15.0,0.0,40.0,1.0,1,0
92,46.0,6.0,16.0,1.0,3630.0,48.0,1.0,25.0,2.0,0,0
93,69.0,7.0,22.0,1.0,1300.0,9.0,1.0,55.0,1.0,1,1
94,42.0,1.0,13.0,1.0,4250.0,42.0,0.0,40.0,1.0,0,0
95,19.0,1.0,10.0,5.0,4020.0,42.0,2.0,40.0,1.0,0,0
96,17.0,1.0,12.0,5.0,4020.0,42.0,2.0,16.0,2.0,0,0
97,47.0,1.0,20.0,1.0,4530.0,15.0,0.0,40.0,1.0,0,0
98,45.0,1.0,18.0,1.0,4740.0,15.0,1.0,40.0,2.0,1,0
99,58.0,4.0,21.0,1.0,630.0,15.0,1.0,40.0,2.0,1,0
100,59.0,1.0,21.0,1.0,140.0,15.0,11.0,40.0,1.0,1,0
101,45.0,1.0,21.0,1.0,5410.0,15.0,0.0,85.0,1.0,1,0
102,40.0,1.0,21.0,1.0,630.0,15.0,1.0,40.0,2.0,1,0
103,43.0,6.0,19.0,1.0,6420.0,15.0,0.0,40.0,1.0,1,1
104,43.0,1.0,19.0,1.0,4520.0,15.0,1.0,40.0,2.0,0,0
105,32.0,6.0,19.0,5.0,2760.0,217.0,0.0,12.0,2.0,0,0
106,64.0,7.0,21.0,1.0,3060.0,15.0,1.0,30.0,1.0,1,0
107,25.0,1.0,22.0,5.0,9130.0,15.0,2.0,40.0,1.0,0,0
108,34.0,1.0,20.0,1.0,3610.0,15.0,9.0,40.0,2.0,0,0
109,46.0,1.0,22.0,1.0,50.0,6.0,0.0,50.0,1.0,1,1
110,48.0,4.0,22.0,1.0,8740.0,15.0,1.0,40.0,2.0,0,0
111,56.0,1.0,21.0,1.0,9050.0,15.0,2.0,28.0,2.0,0,0
112,45.0,1.0,21.0,1.0,4700.0,15.0,0.0,40.0,2.0,0,0
113,45.0,5.0,20.0,1.0,565.0,20.0,1.0,40.0,1.0,1,1
114,35.0,7.0,21.0,1.0,725.0,29.0,0.0,40.0,2.0,0,1
115,42.0,6.0,17.0,1.0,4000.0,15.0,1.0,40.0,1.0,0,0
116,54.0,6.0,19.0,3.0,410.0,53.0,0.0,40.0,2.0,1,1
117,53.0,1.0,20.0,5.0,4040.0,15.0,0.0,36.0,1.0,0,0
118,45.0,4.0,16.0,1.0,4220.0,15.0,0.0,40.0,1.0,0,0
119,47.0,1.0,16.0,1.0,600.0,15.0,1.0,40.0,2.0,1,0
120,18.0,1.0,16.0,5.0,7810.0,15.0,2.0,30.0,1.0,0,0
121,35.0,1.0,22.0,1.0,4650.0,15.0,0.0,5.0,2.0,0,1
122,59.0,6.0,19.0,1.0,7200.0,362.0,1.0,30.0,1.0,0,0
123,18.0,1.0,10.0,5.0,6050.0,6.0,4.0,25.0,1.0,0,0
124,37.0,1.0,16.0,3.0,3640.0,15.0,2.0,40.0,2.0,0,0
125,51.0,1.0,19.0,5.0,3420.0,15.0,0.0,40.0,1.0,0,0
126,59.0,1.0,23.0,3.0,430.0,15.0,0.0,60.0,2.0,1,0
127,65.0,2.0,20.0,5.0,5700.0,233.0,0.0,40.0,2.0,0,0
128,53.0,1.0,16.0,3.0,410.0,20.0,0.0,50.0,2.0,0,1
129,22.0,1.0,15.0,5.0,4020.0,15.0,2.0,60.0,1.0,0,0
130,54.0,6.0,16.0,1.0,4760.0,217.0,0.0,40.0,1.0,0,0
131,55.0,6.0,16.0,1.0,4760.0,217.0,1.0,40.0,2.0,0,0
132,48.0,1.0,20.0,3.0,5840.0,215.0,0.0,40.0,2.0,0,0
133,53.0,1.0,20.0,1.0,3255.0,110.0,0.0,40.0,2.0,0,1
134,64.0,1.0,20.0,1.0,3255.0,25.0,1.0,40.0,1.0,1,0
135,20.0,1.0,18.0,5.0,4130.0,15.0,2.0,40.0,1.0,0,1
136,43.0,5.0,21.0,1.0,1550.0,15.0,0.0,40.0,2.0,1,0
137,45.0,4.0,21.0,1.0,5860.0,15.0,1.0,40.0,1.0,1,0
138,44.0,1.0,20.0,1.0,6360.0,233.0,0.0,40.0,1.0,0,0
139,21.0,1.0,16.0,5.0,2340.0,12.0,2.0,4.0,2.0,0,1
140,28.0,4.0,22.0,5.0,2310.0,15.0,0.0,45.0,2.0,0,0
141,67.0,1.0,18.0,2.0,2300.0,15.0,6.0,40.0,2.0,0,0
142,69.0,1.0,16.0,5.0,4760.0,15.0,10.0,15.0,1.0,0,0
143,63.0,4.0,21.0,5.0,430.0,15.0,0.0,40.0,2.0,1,0
144,50.0,4.0,21.0,5.0,2310.0,15.0,5.0,40.0,2.0,1,0
145,60.0,4.0,21.0,1.0,2310.0,15.0,15.0,40.0,2.0,1,0
146,63.0,1.0,18.0,1.0,430.0,6.0,0.0,40.0,1.0,1,0
147,27.0,1.0,21.0,5.0,4250.0,15.0,2.0,40.0,1.0,0,0
148,48.0,1.0,13.0,1.0,4220.0,512.0,0.0,40.0,1.0,0,0
149,40.0,1.0,16.0,1.0,4220.0,512.0,10.0,40.0,1.0,0,0
150,64.0,1.0,19.0,1.0,4760.0,15.0,1.0,40.0,2.0,0,0
151,37.0,1.0,16.0,5.0,410.0,15.0,2.0,40.0,1.0,0,0
152,32.0,5.0,16.0,5.0,700.0,15.0,2.0,40.0,1.0,1,0
153,37.0,1.0,16.0,5.0,4110.0,15.0,15.0,40.0,2.0,0,0
154,70.0,6.0,21.0,2.0,2400.0,48.0,0.0,25.0,2.0,1,1
155,60.0,6.0,23.0,1.0,3010.0,12.0,0.0,37.0,1.0,1,0
156,52.0,1.0,20.0,1.0,5120.0,15.0,1.0,40.0,2.0,0,0
157,17.0,1.0,14.0,5.0,3640.0,15.0,2.0,15.0,2.0,0,0
158,55.0,5.0,22.0,1.0,1107.0,233.0,0.0,40.0,1.0,1,0
159,56.0,2.0,18.0,1.0,5810.0,6.0,1.0,40.0,2.0,0,0
160,34.0,1.0,16.0,5.0,7020.0,6.0,2.0,40.0,1.0,0,1
161,69.0,7.0,21.0,1.0,430.0,26.0,0.0,50.0,2.0,0,1
162,64.0,7.0,18.0,1.0,6200.0,15.0,1.0,20.0,1.0,1,0
163,72.0,2.0,23.0,1.0,350.0,33.0,1.0,50.0,2.0,1,1
164,57.0,7.0,19.0,3.0,6420.0,6.0,0.0,50.0,2.0,0,0
165,38.0,1.0,22.0,1.0,1105.0,18.0,0.0,40.0,1.0,1,1
166,48.0,5.0,22.0,1.0,10.0,72.0,0.0,60.0,2.0,1,0
167,65.0,4.0,21.0,3.0,1050.0,11.0,0.0,40.0,2.0,0,1
168,67.0,4.0,21.0,3.0,2310.0,15.0,11.0,28.0,2.0,0,0
169,53.0,4.0,1.0,5.0,3930.0,25.0,0.0,40.0,1.0,1,1
170,25.0,2.0,1.0,5.0,2540.0,4.0,12.0,35.0,1.0,0,0
171,57.0,1.0,16.0,2.0,4760.0,12.0,0.0,35.0,2.0,0,1
172,26.0,5.0,21.0,5.0,3255.0,53.0,0.0,42.0,2.0,1,1
173,23.0,1.0,15.0,5.0,3645.0,48.0,11.0,40.0,2.0,0,1
174,60.0,1.0,16.0,1.0,3930.0,15.0,1.0,48.0,1.0,1,0
175,61.0,1.0,19.0,5.0,7140.0,9.0,0.0,40.0,1.0,1,0
176,65.0,1.0,22.0,3.0,1360.0,15.0,0.0,55.0,1.0,0,0
177,23.0,1.0,21.0,5.0,4760.0,15.0,2.0,20.0,2.0,0,0
178,35.0,6.0,21.0,1.0,2860.0,6.0,0.0,10.0,2.0,0,0
179,35.0,6.0,20.0,1.0,2600.0,215.0,1.0,5.0,1.0,0,0
180,53.0,1.0,16.0,1.0,8140.0,233.0,0.0,40.0,1.0,1,0
181,29.0,1.0,20.0,5.0,6320.0,15.0,2.0,40.0,1.0,1,0
182,22.0,1.0,16.0,5.0,3640.0,15.0,2.0,24.0,2.0,0,0
183,64.0,1.0,16.0,1.0,4020.0,15.0,0.0,15.0,1.0,0,0
184,54.0,1.0,19.0,1.0,340.0,15.0,1.0,40.0,2.0,1,0
185,32.0,1.0,16.0,5.0,4000.0,15.0,2.0,40.0,2.0,0,0
186,23.0,1.0,16.0,5.0,5300.0,15.0,2.0,40.0,2.0,0,0
187,53.0,5.0,21.0,1.0,4220.0,17.0,0.0,40.0,1.0,1,1
188,55.0,1.0,21.0,1.0,10.0,15.0,1.0,45.0,2.0,1,0
189,65.0,1.0,15.0,3.0,5610.0,247.0,0.0,40.0,2.0,1,0
190,63.0,1.0,15.0,5.0,9350.0,247.0,5.0,40.0,1.0,0,0
191,53.0,3.0,24.0,3.0,5860.0,207.0,12.0,40.0,2.0,0,0
192,35.0,1.0,16.0,5.0,4240.0,51.0,0.0,40.0,1.0,0,1
193,45.0,1.0,16.0,3.0,5700.0,15.0,13.0,40.0,2.0,0,0
194,52.0,1.0,21.0,4.0,430.0,47.0,0.0,50.0,1.0,1,1
195,43.0,1.0,20.0,3.0,3255.0,15.0,0.0,40.0,2.0,1,1
196,45.0,4.0,16.0,5.0,4220.0,15.0,13.0,40.0,1.0,0,0
197,35.0,3.0,19.0,1.0,3910.0,15.0,0.0,50.0,1.0,0,0
198,34.0,4.0,22.0,1.0,2310.0,15.0,1.0,42.0,2.0,1,0
199,33.0,5.0,21.0,5.0,1440.0,15.0,0.0,40.0,1.0,1,0
200,32.0,1.0,24.0,5.0,1300.0,15.0,13.0,45.0,2.0,1,0
201,33.0,1.0,22.0,5.0,1360.0,212.0,0.0,40.0,1.0,1,1
202,47.0,6.0,21.0,1.0,5820.0,15.0,0.0,10.0,2.0,0,0
203,46.0,1.0,21.0,1.0,710.0,15.0,1.0,65.0,1.0,1,0
204,65.0,7.0,24.0,1.0,3060.0,138.0,0.0,40.0,1.0,1,0
205,30.0,2.0,21.0,5.0,1640.0,34.0,2.0,40.0,1.0,0,0
206,46.0,1.0,21.0,1.0,540.0,226.0,0.0,40.0,1.0,1,0
207,48.0,4.0,22.0,1.0,2310.0,247.0,1.0,40.0,2.0,1,0
208,27.0,1.0,19.0,1.0,5860.0,15.0,0.0,12.0,2.0,0,0
209,30.0,1.0,17.0,1.0,6520.0,15.0,1.0,40.0,1.0,1,0
210,47.0,2.0,19.0,3.0,2310.0,66.0,0.0,40.0,2.0,0,0
211,21.0,6.0,19.0,5.0,4610.0,41.0,2.0,25.0,2.0,0,0
212,20.0,1.0,18.0,5.0,7200.0,41.0,2.0,38.0,1.0,1,0
213,18.0,3.0,16.0,5.0,4110.0,15.0,12.0,20.0,2.0,0,0
214,40.0,7.0,21.0,1.0,205.0,42.0,0.0,40.0,1.0,1,1
215,40.0,6.0,22.0,1.0,1010.0,42.0,1.0,40.0,2.0,1,1
216,41.0,1.0,22.0,5.0,4700.0,15.0,0.0,40.0,2.0,0,0
217,56.0,1.0,22.0,5.0,1350.0,37.0,0.0,42.0,1.0,1,1
218,59.0,1.0,16.0,1.0,6230.0,233.0,0.0,40.0,1.0,0,0
219,55.0,1.0,16.0,1.0,4020.0,233.0,1.0,40.0,2.0,0,0
220,23.0,1.0,16.0,5.0,4720.0,15.0,2.0,12.0,1.0,0,0
221,63.0,1.0,20.0,1.0,6440.0,15.0,0.0,40.0,1.0,1,0
222,63.0,1.0,18.0,1.0,5120.0,15.0,1.0,40.0,2.0,0,0
223,32.0,1.0,19.0,5.0,4110.0,15.0,2.0,40.0,1.0,1,0
224,53.0,1.0,18.0,3.0,4060.0,15.0,0.0,30.0,2.0,0,0
225,62.0,1.0,21.0,1.0,4650.0,15.0,0.0,30.0,1.0,0,0
226,59.0,4.0,21.0,1.0,1107.0,15.0,1.0,40.0,2.0,1,0
227,26.0,1.0,19.0,5.0,4760.0,15.0,2.0,20.0,2.0,0,0
228,58.0,2.0,19.0,2.0,2010.0,15.0,0.0,40.0,2.0,0,0
229,32.0,1.0,19.0,5.0,4240.0,15.0,2.0,40.0,2.0,0,0
230,21.0,5.0,18.0,1.0,9820.0,39.0,0.0,60.0,1.0,0,1
231,21.0,5.0,20.0,1.0,2540.0,39.0,1.0,40.0,2.0,0,1
232,35.0,1.0,21.0,1.0,6355.0,15.0,0.0,40.0,1.0,0,0
233,30.0,6.0,21.0,1.0,4760.0,31.0,1.0,12.0,2.0,0,0
234,54.0,2.0,21.0,1.0,2016.0,15.0,0.0,40.0,1.0,0,0
235,47.0,2.0,22.0,1.0,420.0,29.0,1.0,40.0,2.0,0,0
236,67.0,7.0,20.0,1.0,4700.0,15.0,0.0,40.0,1.0,1,0
237,59.0,7.0,20.0,1.0,4700.0,15.0,1.0,30.0,2.0,1,0
238,25.0,7.0,19.0,5.0,4700.0,15.0,2.0,50.0,1.0,0,0
239,65.0,5.0,21.0,1.0,230.0,15.0,0.0,40.0,1.0,1,0
240,34.0,1.0,16.0,5.0,6050.0,15.0,2.0,40.0,1.0,0,0
241,29.0,5.0,20.0,1.0,5550.0,15.0,0.0,40.0,1.0,0,0
242,25.0,1.0,19.0,1.0,4700.0,15.0,1.0,38.0,2.0,0,0
243,65.0,1.0,18.0,3.0,9000.0,15.0,0.0,55.0,2.0,1,0
244,36.0,2.0,21.0,5.0,420.0,15.0,2.0,55.0,2.0,1,0
245,32.0,6.0,18.0,1.0,2920.0,15.0,2.0,50.0,1.0,1,0
246,33.0,2.0,16.0,1.0,2340.0,15.0,9.0,8.0,2.0,0,0
247,32.0,1.0,21.0,1.0,136.0,215.0,0.0,40.0,1.0,0,0
248,30.0,1.0,21.0,1.0,4110.0,215.0,1.0,15.0,2.0,0,0
249,73.0,8.0,20.0,1.0,4760.0,19.0,0.0,14.0,2.0,0,1
250,62.0,6.0,20.0,1.0,9630.0,48.0,1.0,40.0,1.0,1,1
251,40.0,6.0,21.0,5.0,4760.0,6.0,2.0,40.0,2.0,0,1
252,60.0,3.0,22.0,1.0,1610.0,13.0,0.0,40.0,1.0,1,1
253,59.0,1.0,17.0,1.0,310.0,13.0,1.0,40.0,2.0,1,1
254,26.0,1.0,16.0,1.0,6120.0,8.0,0.0,40.0,1.0,0,0
255,26.0,1.0,16.0,1.0,4230.0,15.0,1.0,40.0,2.0,0,0
256,32.0,1.0,14.0,1.0,9620.0,15.0,1.0,38.0,1.0,0,0
257,52.0,5.0,21.0,1.0,3730.0,17.0,0.0,40.0,1.0,1,0
258,53.0,1.0,20.0,1.0,5700.0,215.0,1.0,40.0,2.0,0,0
259,21.0,5.0,18.0,1.0,430.0,39.0,0.0,30.0,1.0,0,1
260,19.0,5.0,19.0,1.0,3910.0,39.0,1.0,40.0,2.0,0,1
261,44.0,4.0,21.0,1.0,3255.0,15.0,0.0,40.0,2.0,1,0
262,39.0,5.0,20.0,1.0,350.0,233.0,1.0,40.0,1.0,0,0
263,38.0,7.0,16.0,1.0,9130.0,15.0,0.0,40.0,1.0,1,0
264,71.0,1.0,21.0,1.0,430.0,15.0,0.0,40.0,1.0,1,0
265,47.0,1.0,16.0,3.0,8810.0,15.0,2.0,40.0,1.0,0,0
266,48.0,5.0,19.0,3.0,1550.0,6.0,15.0,40.0,1.0,1,1
267,63.0,1.0,16.0,1.0,5000.0,6.0,0.0,60.0,1.0,1,1
268,35.0,5.0,16.0,5.0,3945.0,15.0,2.0,40.0,1.0,0,0
269,52.0,3.0,16.0,1.0,5240.0,15.0,0.0,40.0,2.0,0,0
270,53.0,3.0,16.0,1.0,4210.0,15.0,1.0,40.0,1.0,1,0
271,62.0,1.0,22.0,5.0,3930.0,215.0,0.0,40.0,1.0,0,0
272,22.0,5.0,20.0,1.0,9810.0,37.0,0.0,50.0,1.0,0,1
273,38.0,1.0,17.0,1.0,4020.0,233.0,0.0,40.0,1.0,0,0
274,30.0,5.0,20.0,1.0,4720.0,233.0,1.0,30.0,2.0,0,0
275,49.0,6.0,20.0,1.0,6260.0,15.0,0.0,30.0,1.0,0,0
276,58.0,1.0,20.0,1.0,4120.0,6.0,1.0,20.0,2.0,0,1
277,68.0,4.0,22.0,1.0,3910.0,15.0,0.0,19.0,1.0,1,0
278,61.0,1.0,21.0,1.0,10.0,15.0,1.0,45.0,2.0,1,0
279,25.0,1.0,20.0,5.0,2300.0,15.0,2.0,20.0,2.0,0,0
280,23.0,1.0,19.0,5.0,4030.0,15.0,2.0,17.0,1.0,0,0
281,27.0,1.0,17.0,5.0,4110.0,15.0,0.0,20.0,2.0,0,0
282,42.0,1.0,21.0,1.0,630.0,15.0,0.0,60.0,2.0,0,0
283,44.0,1.0,20.0,1.0,3930.0,29.0,1.0,60.0,1.0,0,0
284,37.0,1.0,16.0,1.0,3420.0,15.0,2.0,20.0,2.0,0,0
285,44.0,1.0,16.0,1.0,6330.0,15.0,9.0,50.0,1.0,1,0
286,67.0,1.0,20.0,1.0,3630.0,242.0,1.0,24.0,2.0,0,0
287,27.0,4.0,22.0,5.0,1965.0,6.0,0.0,65.0,1.0,0,1
288,50.0,1.0,18.0,5.0,2900.0,15.0,2.0,45.0,1.0,0,0
289,40.0,1.0,20.0,1.0,5400.0,15.0,0.0,40.0,2.0,0,0
290,35.0,1.0,21.0,1.0,1360.0,15.0,1.0,40.0,1.0,1,0
291,50.0,1.0,19.0,5.0,4120.0,15.0,0.0,40.0,2.0,0,0
292,55.0,2.0,21.0,1.0,3160.0,15.0,0.0,22.0,2.0,0,0
293,53.0,2.0,20.0,1.0,3620.0,15.0,1.0,20.0,1.0,0,0
294,65.0,2.0,24.0,1.0,2060.0,6.0,0.0,40.0,1.0,1,1
295,63.0,2.0,21.0,1.0,5700.0,53.0,1.0,10.0,2.0,0,1
296,56.0,4.0,23.0,1.0,136.0,15.0,0.0,40.0,2.0,1,0
297,53.0,2.0,22.0,1.0,2825.0,15.0,1.0,40.0,1.0,1,0
298,42.0,1.0,12.0,1.0,4250.0,303.0,0.0,40.0,1.0,0,0
299,32.0,1.0,12.0,1.0,4220.0,303.0,1.0,40.0,2.0,0,0
300,53.0,1.0,20.0,1.0,4220.0,233.0,1.0,40.0,2.0,0,0
301,50.0,1.0,16.0,1.0,7950.0,233.0,10.0,40.0,2.0,0,0
302,45.0,1.0,16.0,1.0,4250.0,233.0,10.0,40.0,1.0,0,0
303,38.0,7.0,21.0,1.0,3245.0,49.0,0.0,50.0,2.0,0,1
304,40.0,2.0,24.0,1.0,2200.0,16.0,1.0,40.0,1.0,1,1
305,52.0,5.0,20.0,1.0,650.0,15.0,0.0,40.0,1.0,1,0
306,51.0,1.0,21.0,1.0,4850.0,15.0,1.0,60.0,2.0,1,0
307,54.0,1.0,23.0,1.0,4760.0,207.0,0.0,40.0,2.0,0,0
308,56.0,1.0,20.0,1.0,4760.0,207.0,1.0,38.0,1.0,0,0
309,19.0,6.0,19.0,5.0,4760.0,207.0,2.0,40.0,1.0,0,0
310,67.0,1.0,16.0,1.0,7010.0,15.0,0.0,30.0,1.0,0,0
311,56.0,1.0,16.0,1.0,940.0,15.0,1.0,30.0,2.0,0,0
312,41.0,1.0,19.0,5.0,4350.0,11.0,0.0,99.0,1.0,0,0
313,60.0,1.0,21.0,5.0,4760.0,15.0,0.0,20.0,1.0,0,1
314,39.0,5.0,18.0,3.0,9130.0,15.0,0.0,40.0,1.0,0,0
315,60.0,5.0,21.0,1.0,1860.0,15.0,0.0,40.0,2.0,0,0
316,28.0,2.0,21.0,5.0,3600.0,15.0,2.0,36.0,2.0,0,0
317,22.0,2.0,19.0,5.0,5240.0,15.0,2.0,20.0,2.0,0,0
318,45.0,4.0,22.0,5.0,2310.0,15.0,2.0,40.0,2.0,1,0
319,47.0,4.0,16.0,1.0,6320.0,15.0,9.0,40.0,1.0,0,0
320,52.0,1.0,15.0,1.0,6240.0,233.0,0.0,40.0,1.0,1,0
321,55.0,1.0,16.0,1.0,5110.0,233.0,1.0,40.0,2.0,0,0
322,27.0,1.0,19.0,5.0,5120.0,15.0,2.0,40.0,2.0,0,0
323,49.0,5.0,19.0,4.0,4220.0,6.0,0.0,40.0,1.0,1,1
