idx,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,PINCP,RAC1P
64,27.0,1.0,16.0,5.0,6330.0,2.0,0.0,40.0,1.0,1,1
65,27.0,1.0,16.0,5.0,6355.0,2.0,12.0,30.0,1.0,0,1
66,55.0,4.0,16.0,3.0,150.0,53.0,0.0,37.0,2.0,1,1
67,36.0,1.0,19.0,3.0,430.0,6.0,0.0,40.0,2.0,1,1
68,34.0,3.0,18.0,3.0,5120.0,2.0,0.0,20.0,2.0,0,1
69,48.0,4.0,23.0,1.0,2310.0,42.0,0.0,40.0,2.0,0,1
70,44.0,6.0,21.0,1.0,1410.0,46.0,1.0,40.0,1.0,1,1
71,54.0,2.0,18.0,1.0,5120.0,13.0,0.0,40.0,2.0,0,1
72,57.0,2.0,21.0,1.0,3050.0,48.0,1.0,48.0,1.0,1,1
73,42.0,1.0,19.0,5.0,3420.0,2.0,0.0,40.0,2.0,0,1
74,59.0,7.0,22.0,1.0,940.0,35.0,1.0,40.0,1.0,1,1
75,43.0,5.0,18.0,1.0,5260.0,512.0,1.0,40.0,1.0,1,0
76,35.0,1.0,16.0,1.0,5410.0,508.0,10.0,24.0,1.0,0,0
77,33.0,1.0,19.0,1.0,4720.0,508.0,10.0,20.0,2.0,0,0
78,45.0,4.0,23.0,1.0,740.0,39.0,0.0,40.0,1.0,1,1
79,44.0,4.0,21.0,1.0,5120.0,233.0,1.0,40.0,2.0,0,0
80,35.0,1.0,16.0,5.0,4700.0,2.0,0.0,40.0,1.0,1,0
81,33.0,1.0,16.0,5.0,5240.0,2.0,13.0,40.0,2.0,1,0
82,38.0,3.0,16.0,5.0,5700.0,2.0,0.0,10.0,2.0,0,0
83,30.0,1.0,16.0,5.0,6260.0,53.0,13.0,40.0,1.0,0,0
84,19.0,1.0,16.0,5.0,4220.0,49.0,2.0,40.0,1.0,0,1
85,56.0,1.0,16.0,1.0,10.0,12.0,0.0,52.0,1.0,1,1
86,59.0,4.0,21.0,1.0,800.0,39.0,1.0,40.0,2.0,1,1
87,23.0,1.0,10.0,4.0,6320.0,2.0,0.0,55.0,1.0,1,1
88,24.0,1.0,19.0,5.0,7630.0,2.0,0.0,40.0,1.0,0,1
89,55.0,1.0,16.0,1.0,5000.0,1.0,0.0,52.0,1.0,1,1
90,60.0,3.0,18.0,1.0,2310.0,1.0,1.0,14.0,2.0,0,1
91,63.0,4.0,17.0,1.0,4220.0,1.0,1.0,40.0,1.0,1,1
92,54.0,4.0,21.0,5.0,1107.0,55.0,0.0,42.0,2.0,1,1
93,54.0,5.0,19.0,3.0,3750.0,53.0,0.0,45.0,2.0,0,1
94,74.0,1.0,19.0,5.0,4700.0,53.0,0.0,50.0,1.0,1,1
95,47.0,2.0,19.0,1.0,2300.0,301.0,0.0,40.0,2.0,0,1
96,48.0,1.0,19.0,1.0,110.0,2.0,1.0,40.0,1.0,0,1
97,47.0,1.0,19.0,1.0,9620.0,47.0,0.0,60.0,1.0,1,1
98,40.0,2.0,21.0,1.0,430.0,53.0,1.0,40.0,2.0,1,1
99,27.0,1.0,19.0,1.0,5940.0,2.0,0.0,36.0,2.0,0,1
100,27.0,1.0,16.0,1.0,8310.0,2.0,1.0,40.0,1.0,0,1
101,58.0,1.0,19.0,3.0,110.0,42.0,0.0,40.0,1.0,1,1
102,43.0,1.0,16.0,1.0,7700.0,41.0,1.0,80.0,1.0,1,1
103,22.0,2.0,21.0,5.0,2010.0,2.0,0.0,22.0,2.0,0,1
104,23.0,4.0,21.0,5.0,2200.0,53.0,13.0,15.0,1.0,0,1
105,71.0,1.0,21.0,2.0,3310.0,55.0,0.0,24.0,2.0,1,1
106,19.0,1.0,19.0,5.0,4760.0,4.0,7.0,24.0,1.0,0,1
107,59.0,6.0,21.0,1.0,4920.0,2.0,0.0,40.0,1.0,1,1
108,47.0,1.0,19.0,1.0,5520.0,41.0,1.0,40.0,2.0,1,1
109,28.0,4.0,19.0,5.0,2540.0,2.0,10.0,29.0,2.0,0,0
110,53.0,1.0,19.0,1.0,6100.0,2.0,0.0,84.0,1.0,0,0
111,51.0,1.0,16.0,1.0,4030.0,2.0,1.0,35.0,2.0,0,0
112,40.0,3.0,21.0,3.0,1740.0,233.0,0.0,37.0,1.0,1,0
113,69.0,1.0,16.0,1.0,7700.0,247.0,6.0,40.0,1.0,1,0
114,32.0,1.0,15.0,5.0,4110.0,2.0,13.0,45.0,2.0,0,0
115,24.0,1.0,19.0,5.0,3600.0,2.0,0.0,35.0,2.0,0,1
116,48.0,6.0,18.0,1.0,220.0,2.0,0.0,40.0,1.0,1,1
117,58.0,6.0,17.0,1.0,220.0,2.0,5.0,40.0,1.0,1,1
118,64.0,2.0,21.0,4.0,420.0,8.0,0.0,34.0,2.0,0,1
119,48.0,2.0,17.0,4.0,4130.0,2.0,11.0,30.0,1.0,0,0
120,24.0,1.0,21.0,5.0,1610.0,38.0,0.0,40.0,1.0,1,1
121,42.0,6.0,17.0,1.0,6100.0,2.0,0.0,84.0,1.0,0,0
122,38.0,2.0,20.0,1.0,3600.0,2.0,1.0,30.0,2.0,0,0
123,18.0,2.0,14.0,5.0,4760.0,2.0,2.0,20.0,1.0,0,0
124,52.0,5.0,17.0,5.0,5810.0,12.0,0.0,40.0,1.0,1,1
125,40.0,3.0,19.0,1.0,740.0,2.0,0.0,40.0,2.0,0,0
126,51.0,3.0,16.0,1.0,5000.0,2.0,1.0,40.0,1.0,0,0
127,58.0,3.0,16.0,5.0,5940.0,2.0,0.0,25.0,2.0,0,0
128,42.0,6.0,16.0,5.0,6100.0,2.0,0.0,99.0,1.0,0,0
129,18.0,3.0,14.0,5.0,420.0,2.0,4.0,40.0,2.0,0,0
130,40.0,4.0,19.0,5.0,2540.0,2.0,13.0,33.0,2.0,1,0
131,75.0,6.0,16.0,1.0,430.0,56.0,0.0,40.0,1.0,1,0
132,71.0,5.0,18.0,1.0,10.0,2.0,1.0,40.0,1.0,1,0
133,31.0,1.0,16.0,5.0,4020.0,2.0,2.0,40.0,2.0,0,0
134,32.0,2.0,16.0,5.0,9620.0,2.0,0.0,99.0,1.0,0,0
135,26.0,2.0,16.0,5.0,6320.0,2.0,5.0,40.0,1.0,0,0
136,59.0,3.0,21.0,3.0,2310.0,48.0,0.0,40.0,2.0,1,1
137,26.0,1.0,19.0,1.0,6355.0,30.0,0.0,40.0,1.0,1,0
138,23.0,1.0,19.0,1.0,3645.0,2.0,1.0,24.0,2.0,0,1
139,69.0,3.0,23.0,1.0,2310.0,6.0,0.0,40.0,2.0,1,1
140,42.0,1.0,16.0,1.0,6130.0,53.0,0.0,42.0,1.0,0,1
141,29.0,2.0,16.0,1.0,740.0,41.0,0.0,40.0,2.0,1,1
142,30.0,2.0,22.0,1.0,3258.0,42.0,1.0,40.0,1.0,1,1
143,35.0,1.0,18.0,1.0,6355.0,23.0,0.0,42.0,1.0,1,1
144,49.0,3.0,16.0,2.0,4220.0,2.0,0.0,20.0,2.0,0,0
145,24.0,1.0,16.0,5.0,4610.0,2.0,2.0,20.0,2.0,0,0
146,21.0,3.0,16.0,5.0,9620.0,2.0,2.0,40.0,1.0,0,0
147,22.0,2.0,16.0,5.0,4230.0,2.0,15.0,40.0,2.0,0,0
148,37.0,3.0,16.0,1.0,5400.0,2.0,0.0,40.0,2.0,0,0
149,37.0,1.0,21.0,4.0,3420.0,27.0,0.0,45.0,2.0,1,0
150,58.0,2.0,16.0,2.0,4010.0,6.0,13.0,40.0,2.0,0,1
151,58.0,6.0,10.0,3.0,6100.0,41.0,0.0,99.0,1.0,0,1
152,57.0,4.0,22.0,1.0,2100.0,27.0,1.0,35.0,2.0,1,1
153,64.0,4.0,19.0,3.0,2540.0,46.0,0.0,32.0,2.0,0,0
154,26.0,3.0,16.0,5.0,2540.0,2.0,2.0,7.0,2.0,0,0
155,65.0,6.0,16.0,5.0,6005.0,48.0,0.0,60.0,1.0,1,1
156,24.0,1.0,16.0,5.0,4010.0,2.0,2.0,40.0,1.0,0,0
157,18.0,1.0,16.0,5.0,9620.0,2.0,3.0,32.0,1.0,0,0
158,54.0,2.0,19.0,1.0,5310.0,42.0,0.0,30.0,2.0,1,1
159,52.0,7.0,21.0,1.0,7150.0,2.0,1.0,60.0,1.0,1,1
160,39.0,1.0,21.0,1.0,3255.0,2.0,0.0,36.0,2.0,1,1
161,38.0,1.0,16.0,1.0,4965.0,30.0,1.0,40.0,1.0,1,1
162,37.0,1.0,19.0,5.0,5120.0,30.0,0.0,40.0,2.0,1,1
163,39.0,1.0,19.0,3.0,7315.0,2.0,13.0,40.0,1.0,1,0
164,20.0,2.0,18.0,5.0,3640.0,2.0,2.0,40.0,2.0,0,0
165,42.0,1.0,16.0,5.0,9130.0,2.0,13.0,30.0,1.0,0,0
166,34.0,7.0,14.0,3.0,6100.0,53.0,0.0,99.0,1.0,0,0
167,22.0,1.0,16.0,5.0,4720.0,2.0,11.0,40.0,1.0,0,0
168,38.0,6.0,18.0,1.0,2630.0,217.0,0.0,30.0,2.0,0,0
169,42.0,1.0,18.0,1.0,9620.0,2.0,1.0,42.0,1.0,0,1
170,59.0,1.0,16.0,4.0,3730.0,78.0,0.0,40.0,1.0,0,0
171,21.0,1.0,19.0,5.0,6100.0,2.0,2.0,30.0,1.0,0,0
172,39.0,3.0,19.0,1.0,410.0,20.0,0.0,38.0,1.0,1,0
173,46.0,1.0,17.0,5.0,4740.0,2.0,0.0,52.0,1.0,1,1
174,52.0,5.0,17.0,4.0,4720.0,26.0,13.0,32.0,2.0,0,1
175,59.0,3.0,19.0,1.0,2330.0,2.0,1.0,35.0,2.0,0,1
176,68.0,6.0,19.0,4.0,2600.0,6.0,0.0,40.0,2.0,1,1
177,50.0,4.0,16.0,1.0,4220.0,2.0,0.0,35.0,1.0,1,0
178,63.0,5.0,19.0,1.0,2310.0,2.0,1.0,24.0,2.0,0,0
179,21.0,1.0,19.0,5.0,3600.0,2.0,4.0,35.0,2.0,0,0
180,55.0,3.0,24.0,1.0,230.0,4.0,0.0,40.0,1.0,1,1
181,37.0,1.0,16.0,1.0,5860.0,9.0,0.0,40.0,2.0,1,1
182,45.0,1.0,11.0,1.0,2440.0,2.0,1.0,9.0,1.0,0,1
183,53.0,1.0,18.0,1.0,4720.0,55.0,0.0,50.0,2.0,0,1
184,52.0,3.0,21.0,1.0,2310.0,2.0,1.0,40.0,1.0,1,1
185,27.0,4.0,22.0,5.0,2320.0,42.0,0.0,50.0,2.0,1,1
186,45.0,1.0,16.0,3.0,160.0,6.0,0.0,40.0,1.0,1,1
187,55.0,3.0,16.0,3.0,5810.0,53.0,0.0,40.0,2.0,1,1
188,34.0,1.0,17.0,1.0,4760.0,2.0,2.0,25.0,2.0,0,0
189,35.0,1.0,17.0,1.0,9620.0,51.0,9.0,70.0,1.0,1,0
190,21.0,1.0,19.0,5.0,4030.0,2.0,4.0,24.0,2.0,0,1
191,49.0,2.0,22.0,3.0,350.0,39.0,15.0,40.0,1.0,1,1
192,57.0,1.0,16.0,1.0,5000.0,53.0,0.0,52.0,1.0,1,1
193,55.0,1.0,19.0,1.0,5000.0,29.0,1.0,50.0,2.0,1,1
194,29.0,5.0,20.0,1.0,120.0,12.0,0.0,40.0,1.0,0,1
195,63.0,4.0,18.0,1.0,9120.0,6.0,0.0,30.0,1.0,0,1
196,58.0,1.0,19.0,1.0,3255.0,27.0,1.0,45.0,2.0,1,1
197,59.0,1.0,19.0,1.0,5860.0,27.0,1.0,16.0,2.0,0,1
198,73.0,6.0,23.0,1.0,2910.0,36.0,0.0,35.0,1.0,1,1
199,61.0,6.0,21.0,1.0,2016.0,10.0,1.0,10.0,2.0,0,1
200,46.0,1.0,19.0,1.0,3400.0,2.0,0.0,40.0,1.0,1,0
201,42.0,3.0,16.0,1.0,2440.0,48.0,1.0,15.0,2.0,0,0
202,18.0,1.0,15.0,5.0,4030.0,2.0,2.0,40.0,2.0,0,0
203,18.0,1.0,16.0,5.0,4720.0,16.0,12.0,36.0,1.0,0,1
204,47.0,1.0,1.0,4.0,9120.0,329.0,0.0,40.0,1.0,0,0
205,22.0,5.0,19.0,5.0,3945.0,72.0,2.0,25.0,2.0,0,1
206,55.0,3.0,19.0,1.0,2850.0,20.0,0.0,50.0,1.0,1,1
207,54.0,3.0,21.0,1.0,2300.0,53.0,1.0,45.0,2.0,1,1
208,67.0,1.0,1.0,3.0,9620.0,2.0,0.0,40.0,1.0,0,0
209,58.0,3.0,18.0,1.0,6200.0,2.0,0.0,40.0,1.0,0,0
210,51.0,3.0,16.0,1.0,5700.0,2.0,1.0,30.0,2.0,0,0
211,29.0,1.0,16.0,1.0,1300.0,2.0,0.0,50.0,1.0,1,1
212,42.0,3.0,16.0,3.0,4400.0,2.0,2.0,6.0,1.0,0,0
213,32.0,4.0,17.0,1.0,2430.0,2.0,2.0,35.0,1.0,0,0
214,39.0,1.0,16.0,1.0,1550.0,2.0,9.0,40.0,1.0,0,0
215,59.0,5.0,21.0,5.0,430.0,41.0,0.0,40.0,1.0,1,1
216,71.0,3.0,19.0,1.0,10.0,2.0,0.0,20.0,2.0,0,0
217,76.0,7.0,19.0,1.0,205.0,2.0,1.0,40.0,1.0,0,0
218,54.0,1.0,18.0,1.0,50.0,6.0,0.0,40.0,1.0,1,1
219,38.0,4.0,17.0,1.0,5150.0,6.0,0.0,55.0,1.0,0,1
220,39.0,4.0,18.0,1.0,5120.0,2.0,1.0,37.0,2.0,0,0
221,20.0,1.0,15.0,5.0,4020.0,6.0,2.0,40.0,1.0,0,0
222,21.0,1.0,15.0,5.0,4760.0,2.0,15.0,40.0,2.0,0,1
223,62.0,6.0,21.0,1.0,430.0,18.0,0.0,40.0,2.0,0,1
224,66.0,6.0,16.0,1.0,8620.0,11.0,1.0,40.0,1.0,0,1
225,39.0,4.0,21.0,1.0,2310.0,2.0,0.0,40.0,2.0,1,1
226,44.0,5.0,16.0,1.0,1060.0,240.0,1.0,40.0,1.0,1,0
227,40.0,1.0,16.0,5.0,4710.0,6.0,0.0,40.0,2.0,0,0
228,53.0,1.0,19.0,1.0,8965.0,6.0,0.0,40.0,1.0,0,1
229,59.0,3.0,11.0,5.0,4720.0,2.0,0.0,20.0,2.0,0,0
230,28.0,3.0,11.0,5.0,6320.0,2.0,2.0,20.0,1.0,0,0
231,28.0,1.0,16.0,1.0,5160.0,233.0,0.0,40.0,2.0,0,0
232,32.0,6.0,16.0,1.0,430.0,53.0,1.0,70.0,1.0,1,1
233,55.0,1.0,19.0,3.0,7855.0,233.0,0.0,45.0,1.0,0,0
234,67.0,1.0,20.0,3.0,7855.0,233.0,11.0,45.0,1.0,0,0
235,58.0,1.0,16.0,1.0,7810.0,233.0,11.0,40.0,1.0,0,0
236,55.0,1.0,19.0,1.0,7840.0,233.0,11.0,45.0,1.0,0,0
237,42.0,1.0,10.0,1.0,7840.0,233.0,11.0,45.0,1.0,0,0
238,24.0,1.0,21.0,1.0,3210.0,47.0,0.0,21.0,2.0,0,1
239,58.0,3.0,19.0,1.0,1550.0,20.0,0.0,40.0,2.0,1,1
240,69.0,1.0,16.0,1.0,2160.0,16.0,1.0,40.0,1.0,1,1
241,68.0,2.0,19.0,2.0,2540.0,2.0,0.0,32.0,2.0,1,1
242,41.0,1.0,19.0,5.0,5620.0,2.0,2.0,40.0,1.0,0,1
243,49.0,6.0,13.0,5.0,430.0,2.0,0.0,30.0,1.0,0,0
244,52.0,7.0,16.0,5.0,4700.0,2.0,5.0,40.0,1.0,1,0
245,70.0,3.0,21.0,1.0,2540.0,53.0,1.0,5.0,1.0,1,0
246,60.0,1.0,16.0,5.0,6050.0,4.0,0.0,40.0,1.0,0,1
247,36.0,7.0,18.0,1.0,6660.0,8.0,0.0,40.0,1.0,1,1
248,36.0,1.0,16.0,1.0,5400.0,316.0,1.0,38.0,2.0,0,0
249,68.0,2.0,20.0,1.0,5400.0,2.0,0.0,40.0,2.0,0,0
250,63.0,6.0,21.0,1.0,6100.0,13.0,1.0,99.0,1.0,0,1
251,32.0,1.0,20.0,5.0,3400.0,2.0,0.0,80.0,2.0,0,1
252,38.0,1.0,16.0,5.0,9600.0,2.0,13.0,40.0,2.0,0,1
253,34.0,7.0,17.0,5.0,6100.0,2.0,0.0,40.0,2.0,0,1
254,28.0,4.0,16.0,5.0,2000.0,29.0,0.0,60.0,1.0,0,1
255,61.0,4.0,22.0,1.0,2310.0,53.0,0.0,50.0,2.0,1,1
256,44.0,2.0,19.0,1.0,420.0,30.0,0.0,40.0,1.0,1,1
257,46.0,1.0,19.0,1.0,4700.0,34.0,1.0,40.0,2.0,1,1
258,35.0,1.0,1.0,1.0,7855.0,223.0,0.0,40.0,2.0,0,0
259,21.0,1.0,14.0,5.0,4720.0,242.0,2.0,20.0,2.0,0,0
260,19.0,1.0,16.0,5.0,4720.0,242.0,2.0,6.0,1.0,0,0
261,67.0,1.0,16.0,1.0,4700.0,163.0,0.0,50.0,1.0,0,1
262,64.0,1.0,16.0,5.0,4760.0,163.0,5.0,52.0,1.0,0,1
263,67.0,1.0,19.0,3.0,4030.0,19.0,0.0,84.0,2.0,0,1
264,53.0,3.0,16.0,4.0,4220.0,2.0,0.0,30.0,1.0,0,0
265,65.0,1.0,22.0,1.0,430.0,17.0,0.0,40.0,1.0,1,1
266,57.0,2.0,21.0,1.0,430.0,2.0,1.0,40.0,2.0,1,1
267,78.0,2.0,19.0,1.0,2040.0,37.0,0.0,60.0,1.0,0,1
268,61.0,2.0,19.0,1.0,950.0,2.0,1.0,42.0,2.0,1,1
269,47.0,1.0,21.0,3.0,1740.0,6.0,0.0,90.0,1.0,1,1
270,24.0,1.0,18.0,5.0,7315.0,15.0,0.0,80.0,1.0,1,0
271,54.0,1.0,21.0,1.0,7000.0,2.0,0.0,40.0,1.0,1,0
272,53.0,2.0,19.0,1.0,2025.0,55.0,1.0,40.0,2.0,0,0
273,35.0,1.0,16.0,3.0,340.0,2.0,2.0,40.0,2.0,0,0
274,64.0,6.0,19.0,1.0,4710.0,41.0,0.0,50.0,1.0,0,1
275,56.0,1.0,19.0,3.0,9130.0,53.0,0.0,50.0,1.0,1,1
276,18.0,1.0,16.0,5.0,4610.0,217.0,3.0,32.0,2.0,0,0
277,46.0,1.0,18.0,3.0,4020.0,2.0,0.0,40.0,2.0,0,0
278,35.0,1.0,19.0,1.0,4720.0,27.0,0.0,35.0,1.0,0,1
279,31.0,2.0,16.0,1.0,4610.0,6.0,1.0,25.0,2.0,0,1
280,53.0,1.0,16.0,1.0,220.0,6.0,1.0,40.0,1.0,1,1
281,30.0,3.0,19.0,5.0,1107.0,2.0,2.0,15.0,1.0,0,0
282,41.0,1.0,16.0,3.0,6440.0,2.0,0.0,40.0,1.0,1,1
283,32.0,1.0,21.0,1.0,4510.0,2.0,0.0,40.0,2.0,0,1
284,34.0,1.0,21.0,1.0,1310.0,48.0,1.0,40.0,1.0,0,1
285,26.0,1.0,16.0,4.0,6320.0,2.0,10.0,70.0,1.0,0,1
286,64.0,7.0,19.0,1.0,6515.0,20.0,1.0,70.0,1.0,1,1
287,47.0,1.0,17.0,1.0,7020.0,30.0,0.0,70.0,1.0,1,1
288,43.0,1.0,19.0,1.0,4600.0,163.0,1.0,20.0,2.0,0,1
289,54.0,3.0,19.0,1.0,2540.0,6.0,0.0,40.0,1.0,0,1
290,54.0,4.0,18.0,3.0,2320.0,2.0,0.0,37.0,1.0,0,0
291,53.0,3.0,16.0,5.0,10.0,2.0,13.0,37.0,2.0,0,0
292,35.0,1.0,18.0,1.0,3600.0,6.0,0.0,37.0,2.0,0,0
293,20.0,1.0,14.0,5.0,9350.0,2.0,15.0,20.0,1.0,0,1
294,33.0,3.0,19.0,5.0,5000.0,2.0,0.0,30.0,2.0,0,0
295,58.0,1.0,18.0,1.0,4700.0,6.0,0.0,40.0,2.0,0,1
296,59.0,1.0,16.0,1.0,7855.0,110.0,1.0,84.0,1.0,0,1
297,55.0,1.0,16.0,4.0,20.0,2.0,0.0,70.0,2.0,0,0
298,34.0,1.0,18.0,3.0,4700.0,2.0,0.0,20.0,2.0,0,0
299,36.0,1.0,16.0,3.0,8255.0,41.0,13.0,40.0,1.0,0,1
300,19.0,1.0,14.0,5.0,9620.0,2.0,0.0,50.0,1.0,0,0
301,34.0,2.0,16.0,3.0,4700.0,2.0,2.0,30.0,2.0,0,0
302,26.0,1.0,15.0,5.0,4720.0,2.0,15.0,20.0,1.0,0,0
303,19.0,1.0,19.0,1.0,4700.0,2.0,1.0,40.0,1.0,0,1
304,38.0,2.0,20.0,3.0,2340.0,22.0,0.0,40.0,1.0,1,1
305,62.0,1.0,16.0,3.0,6400.0,26.0,0.0,80.0,1.0,1,1
306,58.0,2.0,22.0,3.0,2000.0,373.0,0.0,45.0,2.0,1,1
307,38.0,5.0,18.0,1.0,820.0,316.0,0.0,40.0,1.0,0,1
308,50.0,1.0,21.0,1.0,220.0,42.0,0.0,40.0,1.0,0,1
309,52.0,2.0,16.0,1.0,5120.0,25.0,1.0,40.0,2.0,1,1
310,51.0,3.0,16.0,3.0,3850.0,2.0,0.0,32.0,1.0,0,0
311,23.0,3.0,14.0,5.0,4400.0,2.0,2.0,30.0,2.0,0,0
312,17.0,1.0,13.0,5.0,5620.0,2.0,2.0,4.0,1.0,0,0
313,45.0,7.0,16.0,1.0,430.0,2.0,0.0,70.0,1.0,0,1
314,48.0,1.0,16.0,1.0,5300.0,2.0,1.0,50.0,2.0,0,1
315,52.0,7.0,16.0,5.0,6200.0,2.0,0.0,45.0,1.0,1,1
316,26.0,1.0,17.0,1.0,220.0,55.0,0.0,80.0,1.0,0,1
317,61.0,3.0,18.0,2.0,430.0,2.0,0.0,30.0,1.0,1,0
318,56.0,7.0,16.0,1.0,2600.0,8.0,0.0,40.0,2.0,0,1
319,24.0,1.0,20.0,1.0,4030.0,8.0,0.0,30.0,2.0,0,1
320,28.0,1.0,20.0,1.0,4220.0,29.0,1.0,42.0,1.0,1,1
321,49.0,3.0,16.0,5.0,6320.0,2.0,2.0,40.0,1.0,0,0
322,56.0,6.0,20.0,1.0,4810.0,2.0,1.0,40.0,2.0,0,0
323,19.0,2.0,16.0,5.0,6050.0,2.0,0.0,35.0,1.0,0,1
